outcome_OutcomeID,outcome_StudyID,outcomeType,outcomeSpecific,icdCodes,prinicpalDiagnosis,outcomeDefinition,Statistical distribution,measureType,outcomeComment,study_StudyID,reviewer,dateExtracted,title,authors,publicationYear,author,studyDesign,country,region,setting,startDate,endDate,studyLength,recruitment,samplingUnit,numberOfSamplingUnits,dataCollection,ageRange,retentionRate,inclusionCriteria,Bias in Sampling frame,Standard endpoints,Confounder,Reliability,Sufficient information,qualityComment,subgroup_StudyID,subgroup_OutcomeID,SubgroupID,subgroupType,subgroupDescription,sampleSize,personYears,populationDenominator,caseCount,measureScale,estimate,lci,uci,uciEstimate,Is confidence 95%,gasCases,gasControls,gasMethod,attributableFraction,subgroupComment,weighting
18,15,Post GAS infection reactions,Rheumatic Fever,"ICD.9 390-392, ICD.10 I00-I02",Principal,"first known admission to hospital for ARF, diagnosed by ICD-9 and ICD-10 coding",-9,incidence rate,"more rates presented by age and ethnicity and by DHB
Same data as Jaine 2011 but more subsets reported",15,Padraig,06-May-15,Epidemiology of acute rheumatic fever in New Zealand 1996-2005,"Jaine R, Baker M, Venugopal K",2008,"Jaine et al., 2008",retrospective cohort,New Zealand,national,hospital admissions,1996,2005,10 years,,hopsital admissions,1249,NZ health Information Service database,,,first admission (no previous history of ARF diagnosed admission) and NZ resident,No,Yes,Yes,Yes,Yes,pretty good. Same data et as Jaine 2011 but greater detail and rate subsets,15,18,18,Total,"average annual rate, age-standardised to NZ population 2001 census",-9,-9,-9,1249,per 100000,3.4,-9,-9,3.4,TRUE,0,0,,0,,5
18,15,Post GAS infection reactions,Rheumatic Fever,"ICD.9 390-392, ICD.10 I00-I02",Principal,"first known admission to hospital for ARF, diagnosed by ICD-9 and ICD-10 coding",-9,incidence rate,"more rates presented by age and ethnicity and by DHB
Same data as Jaine 2011 but more subsets reported",15,Padraig,06-May-15,Epidemiology of acute rheumatic fever in New Zealand 1996-2005,"Jaine R, Baker M, Venugopal K",2008,"Jaine et al., 2008",retrospective cohort,New Zealand,national,hospital admissions,1996,2005,10 years,,hopsital admissions,1249,NZ health Information Service database,,,first admission (no previous history of ARF diagnosed admission) and NZ resident,No,Yes,Yes,Yes,Yes,pretty good. Same data et as Jaine 2011 but greater detail and rate subsets,15,18,19,Age,age 5-14 average annual crude incidence,-9,-9,-9,860,per 100000,14.9,0,0,14.9,TRUE,0,0,,0,,5
18,15,Post GAS infection reactions,Rheumatic Fever,"ICD.9 390-392, ICD.10 I00-I02",Principal,"first known admission to hospital for ARF, diagnosed by ICD-9 and ICD-10 coding",-9,incidence rate,"more rates presented by age and ethnicity and by DHB
Same data as Jaine 2011 but more subsets reported",15,Padraig,06-May-15,Epidemiology of acute rheumatic fever in New Zealand 1996-2005,"Jaine R, Baker M, Venugopal K",2008,"Jaine et al., 2008",retrospective cohort,New Zealand,national,hospital admissions,1996,2005,10 years,,hopsital admissions,1249,NZ health Information Service database,,,first admission (no previous history of ARF diagnosed admission) and NZ resident,No,Yes,Yes,Yes,Yes,pretty good. Same data et as Jaine 2011 but greater detail and rate subsets,15,18,20,Ethnicity,"maori average annual incidence ARF first admissions, age-standardised to 2001 census popualtion",1249,-9,-9,588,per 100000,8,0,0,8,TRUE,0,0,,0,,5
18,15,Post GAS infection reactions,Rheumatic Fever,"ICD.9 390-392, ICD.10 I00-I02",Principal,"first known admission to hospital for ARF, diagnosed by ICD-9 and ICD-10 coding",-9,incidence rate,"more rates presented by age and ethnicity and by DHB
Same data as Jaine 2011 but more subsets reported",15,Padraig,06-May-15,Epidemiology of acute rheumatic fever in New Zealand 1996-2005,"Jaine R, Baker M, Venugopal K",2008,"Jaine et al., 2008",retrospective cohort,New Zealand,national,hospital admissions,1996,2005,10 years,,hopsital admissions,1249,NZ health Information Service database,,,first admission (no previous history of ARF diagnosed admission) and NZ resident,No,Yes,Yes,Yes,Yes,pretty good. Same data et as Jaine 2011 but greater detail and rate subsets,15,18,21,Ethnicity,"pacific peoples average annual incidence of ARF first admissions, age standardised to the 2001 census population",1249,-9,-9,447,per 100000,16.6,-9,-9,16.6,TRUE,0,0,,0,,5
19,16,Post GAS infection reactions,Rheumatic Fever,"ICD.10 11, 101.0, 101.2, 101.8, 101.9, 102.0, 102.9",Any diagnosis,Jones criteria- with NZ modifications (echocardiogram as major criteria),-9,rate,primary or secondary diagnostic code,16,Padraig,06-May-15,Acute rheumatic fever in the Waikato District Health Board region of New Zealand: 1998-2004,"Atatoa-Carr P, Bell A, Lennon DR",2008,"Atatoa-Carr et al., 2008",retrospective cohort,New Zealand,waikato,hospital admissions,1/01/1999,31/12/2004,7 years,,admissions,80,case notes,mean(range): 12(4-32) years,,cases inlcuded if identified from one or both of the hospital admissions and notifications databases. For hospital admissions ICD coding for ARF was checked against clinical notes,No,Yes,Yes,Yes,Yes,I think the 1999 start date in the methods is a typo (referred elsewhere as 1998),16,19,22,Total,average annual incidence. Population denominator is the 2001 NZ census,77,-9,-9,77,per 100000,3,-9,-9,3,TRUE,0,0,,0,,5
19,16,Post GAS infection reactions,Rheumatic Fever,"ICD.10 11, 101.0, 101.2, 101.8, 101.9, 102.0, 102.9",Any diagnosis,Jones criteria- with NZ modifications (echocardiogram as major criteria),-9,rate,primary or secondary diagnostic code,16,Padraig,06-May-15,Acute rheumatic fever in the Waikato District Health Board region of New Zealand: 1998-2004,"Atatoa-Carr P, Bell A, Lennon DR",2008,"Atatoa-Carr et al., 2008",retrospective cohort,New Zealand,waikato,hospital admissions,1/01/1999,31/12/2004,7 years,,admissions,80,case notes,mean(range): 12(4-32) years,,cases inlcuded if identified from one or both of the hospital admissions and notifications databases. For hospital admissions ICD coding for ARF was checked against clinical notes,No,Yes,Yes,Yes,Yes,I think the 1999 start date in the methods is a typo (referred elsewhere as 1998),16,19,23,Age,annual population incidence 5-14 year olds,77,-9,-9,57,"per 100,000",12.9,-9,-9,12.9,TRUE,0,0,,0,,5
19,16,Post GAS infection reactions,Rheumatic Fever,"ICD.10 11, 101.0, 101.2, 101.8, 101.9, 102.0, 102.9",Any diagnosis,Jones criteria- with NZ modifications (echocardiogram as major criteria),-9,rate,primary or secondary diagnostic code,16,Padraig,06-May-15,Acute rheumatic fever in the Waikato District Health Board region of New Zealand: 1998-2004,"Atatoa-Carr P, Bell A, Lennon DR",2008,"Atatoa-Carr et al., 2008",retrospective cohort,New Zealand,waikato,hospital admissions,1/01/1999,31/12/2004,7 years,,admissions,80,case notes,mean(range): 12(4-32) years,,cases inlcuded if identified from one or both of the hospital admissions and notifications databases. For hospital admissions ICD coding for ARF was checked against clinical notes,No,Yes,Yes,Yes,Yes,I think the 1999 start date in the methods is a typo (referred elsewhere as 1998),16,19,24,Ethnicity,annual incidence ARF maori children aged 5-14 years old,77,-9,-9,-9,"per 100,000",39.6,-9,-9,39.6,TRUE,0,0,,0,,5
20,17,Post GAS infection reactions,Rheumatic Fever,-9,,National Heart Foundation Guidelines for Diagnosis and Management of ARF and RHD,-9,rate,,17,Padraig,07-May-15,Australian Paediatric Surveillance Unit annual report 2008 and 2009,"Zurynski Y, Davey E, Elliott EJ",2010,"Zurynski et al., 2010",retrospective cohort,Australia,national,community,oct 2007,dec 2009,2 years,GP clinic,Clinicans,2658,questionaire,,88,,Yes,Unclear,Unclear,Unclear,No,"case ascertainment in remote communities lower.
Rurality is presented as a frequency of cases. Majority of cases are indigenous",17,20,25,Age,rate  based on australian popualtion <15 years of age,2658,-9,-9,104,per 100000,1,-9,-9,1,TRUE,0,0,,0,,5
27,25,Post GAS infection reactions,Rheumatic Fever,"l00, l00.0, l01.0, l01.1,
l01.2, l01.8, l01.9, l02, l02.0, l02.9",Any diagnosis,modified Jones criteria (echo) to confirm diagnosis,poisson,rate,"majority of sample maori, however rates for pacific islanders and europena (n=1) also presented",25,Padraig,12-May-15,Retrospective epidemiology of acute rheumatic fever: a 10-year review in the waikato District Health Board area of New Zealand,"Pennock V, Bell A, Moxon TA, Reed P, Maxwell F, Lennon D",2014,"Pennock et al., 2014",retrospective cohort,New Zealand,Waikato,hospital admissions,1/01/2002,31/12/2011,9 years,"hospital admissions, notifications",cases diagnosed ARF,106,hospital notes Episurv database,mean(range): 11.8(4-37),,Waikato DHB resident patients with a primary or secondary diagnosiss of acute and recurrent ARF during the period,No,Yes,Yes,Yes,Yes,"multiple sources of case detection, notification and hospital database. Makes it possible for some cases to be undetected but less likely with Acute RF",25,27,40,Total,annual incidenceall ages waikato DHB 2002-2011,-9,-9,339133,106,"per 100,000",3.1,2.56,3.78,3.78,TRUE,0,0,,0,85% of cases were maori,5
27,25,Post GAS infection reactions,Rheumatic Fever,"l00, l00.0, l01.0, l01.1,
l01.2, l01.8, l01.9, l02, l02.0, l02.9",Any diagnosis,modified Jones criteria (echo) to confirm diagnosis,poisson,rate,"majority of sample maori, however rates for pacific islanders and europena (n=1) also presented",25,Padraig,12-May-15,Retrospective epidemiology of acute rheumatic fever: a 10-year review in the waikato District Health Board area of New Zealand,"Pennock V, Bell A, Moxon TA, Reed P, Maxwell F, Lennon D",2014,"Pennock et al., 2014",retrospective cohort,New Zealand,Waikato,hospital admissions,1/01/2002,31/12/2011,9 years,"hospital admissions, notifications",cases diagnosed ARF,106,hospital notes Episurv database,mean(range): 11.8(4-37),,Waikato DHB resident patients with a primary or secondary diagnosiss of acute and recurrent ARF during the period,No,Yes,Yes,Yes,Yes,"multiple sources of case detection, notification and hospital database. Makes it possible for some cases to be undetected but less likely with Acute RF",25,27,41,Age,"annual incidence maori children 5-14 years, Waikato DHB 2002-2011",-9,-9,16049,74,"per 100,000",46.1,36.21,57.89,57.89,TRUE,0,0,,0,,5
27,25,Post GAS infection reactions,Rheumatic Fever,"l00, l00.0, l01.0, l01.1,
l01.2, l01.8, l01.9, l02, l02.0, l02.9",Any diagnosis,modified Jones criteria (echo) to confirm diagnosis,poisson,rate,"majority of sample maori, however rates for pacific islanders and europena (n=1) also presented",25,Padraig,12-May-15,Retrospective epidemiology of acute rheumatic fever: a 10-year review in the waikato District Health Board area of New Zealand,"Pennock V, Bell A, Moxon TA, Reed P, Maxwell F, Lennon D",2014,"Pennock et al., 2014",retrospective cohort,New Zealand,Waikato,hospital admissions,1/01/2002,31/12/2011,9 years,"hospital admissions, notifications",cases diagnosed ARF,106,hospital notes Episurv database,mean(range): 11.8(4-37),,Waikato DHB resident patients with a primary or secondary diagnosiss of acute and recurrent ARF during the period,No,Yes,Yes,Yes,Yes,"multiple sources of case detection, notification and hospital database. Makes it possible for some cases to be undetected but less likely with Acute RF",55,27,133,Total,adjusted case fatality for whole period 1990-2006,812,-9,3689364,148,%,20.8,-9,-9,20.8,TRUE,0,0,,0,,5
28,26,Post GAS infection reactions,Rheumatic Fever,no,Not stated,"Jones criteria, diagnosed by specialist clinicans and confirmed by echocardiography. First episode ARF defined as ARF episode within study period with no previous record of ARF/RHD",,incidence rate,"majority of cases indigenous. Contact authors for raw data/rates and RHD prevalence by subgroup
Also available IRR",26,Padraig,12-May-15,Acute rheumatic fever and Rheumatic Heart Disease,"Lawrence JG, Carapetis JR, Griffiths K, Edwards K, Condon JR",2013,"Lawrence et al., 2013",prospective cohort,Australia,Northern Territory,community,1/01/1997,31/12/2010,13 years,Registry,cases of ARF/RHD confirmed on registry,1465,"registry data spanning clinical notes, reviews, patients demographics",,,NT residents registered with confirmed first case ARF or RHD occuring between 1 jan 1997 to dec 31 2010,,,,,,only NT but no stratification by community or region,26,28,43,Age,indigenous 5-14 year olds 1997-2010,-9,-9,-9,384,"per 100,000",194,-9,-9,194,TRUE,0,0,,0,case count calculated from sample demographic,5
28,26,Post GAS infection reactions,Rheumatic Fever,no,Not stated,"Jones criteria, diagnosed by specialist clinicans and confirmed by echocardiography. First episode ARF defined as ARF episode within study period with no previous record of ARF/RHD",,incidence rate,"majority of cases indigenous. Contact authors for raw data/rates and RHD prevalence by subgroup
Also available IRR",26,Padraig,12-May-15,Acute rheumatic fever and Rheumatic Heart Disease,"Lawrence JG, Carapetis JR, Griffiths K, Edwards K, Condon JR",2013,"Lawrence et al., 2013",prospective cohort,Australia,Northern Territory,community,1/01/1997,31/12/2010,13 years,Registry,cases of ARF/RHD confirmed on registry,1465,"registry data spanning clinical notes, reviews, patients demographics",,,NT residents registered with confirmed first case ARF or RHD occuring between 1 jan 1997 to dec 31 2010,,,,,,only NT but no stratification by community or region,26,28,44,Sex,indigenous females 5-14 year old 1997-2010,-9,-9,-9,-9,"per 100,000",228,-9,-9,228,TRUE,0,0,,0,,5
28,26,Post GAS infection reactions,Rheumatic Fever,no,Not stated,"Jones criteria, diagnosed by specialist clinicans and confirmed by echocardiography. First episode ARF defined as ARF episode within study period with no previous record of ARF/RHD",,incidence rate,"majority of cases indigenous. Contact authors for raw data/rates and RHD prevalence by subgroup
Also available IRR",26,Padraig,12-May-15,Acute rheumatic fever and Rheumatic Heart Disease,"Lawrence JG, Carapetis JR, Griffiths K, Edwards K, Condon JR",2013,"Lawrence et al., 2013",prospective cohort,Australia,Northern Territory,community,1/01/1997,31/12/2010,13 years,Registry,cases of ARF/RHD confirmed on registry,1465,"registry data spanning clinical notes, reviews, patients demographics",,,NT residents registered with confirmed first case ARF or RHD occuring between 1 jan 1997 to dec 31 2010,,,,,,only NT but no stratification by community or region,26,28,45,Sex,indigenous males 5-14 years old 1997-2010,-9,-9,-9,-9,"per 100,000",162,-9,-9,162,TRUE,0,0,,0,,5
29,27,Post GAS infection reactions,Rheumatic Fever,not given,,1992 Jones Criteria (not dependent on Echo confirmation),,incidence rate,1996 census population denominator,27,Padraig,12-May-15,Rheumatic fever recurrence prevention: A nurse-led programme of 28-day penicillin in a n area of high endemnicity,"Spinetto H, Lennon D, Horsburgh M",2011,"Spinetto et al., 2011",retrospective cohort,New Zealand,Auckland,community,1993,1999,7 years,registry,first episode ARF cases,334,clinical records,,,,,,,,,,27,29,46,Total,total first ARF cases Auckland 1993-1999 annual incidence,-9,-9,1081644,340,per 100000,4.8,-9,-9,4.8,TRUE,0,0,,0,,5
29,27,Post GAS infection reactions,Rheumatic Fever,not given,,1992 Jones Criteria (not dependent on Echo confirmation),,incidence rate,1996 census population denominator,27,Padraig,12-May-15,Rheumatic fever recurrence prevention: A nurse-led programme of 28-day penicillin in a n area of high endemnicity,"Spinetto H, Lennon D, Horsburgh M",2011,"Spinetto et al., 2011",retrospective cohort,New Zealand,Auckland,community,1993,1999,7 years,registry,first episode ARF cases,334,clinical records,,,,,,,,,,27,29,47,Age,"incidence first ARF episode Auckland chldren 5-14 years, 1993-1999",-9,-9,161796,245,per 100000,21.6,-9,-9,21.6,TRUE,0,0,,0,calculated from collapsed age grouped by myself from provided data,5
29,27,Post GAS infection reactions,Rheumatic Fever,not given,,1992 Jones Criteria (not dependent on Echo confirmation),,incidence rate,1996 census population denominator,27,Padraig,12-May-15,Rheumatic fever recurrence prevention: A nurse-led programme of 28-day penicillin in a n area of high endemnicity,"Spinetto H, Lennon D, Horsburgh M",2011,"Spinetto et al., 2011",retrospective cohort,New Zealand,Auckland,community,1993,1999,7 years,registry,first episode ARF cases,334,clinical records,,,,,,,,,,27,29,48,Ethnicity,"incidence all ARF episodes (first + recurrent) in maori children 5-14 years, 1993-1999 Auckland",-9,-9,29130,-9,"per 100,000",42.8,-9,-9,42.8,TRUE,0,0,,0,,5
29,27,Post GAS infection reactions,Rheumatic Fever,not given,,1992 Jones Criteria (not dependent on Echo confirmation),,incidence rate,1996 census population denominator,27,Padraig,12-May-15,Rheumatic fever recurrence prevention: A nurse-led programme of 28-day penicillin in a n area of high endemnicity,"Spinetto H, Lennon D, Horsburgh M",2011,"Spinetto et al., 2011",retrospective cohort,New Zealand,Auckland,community,1993,1999,7 years,registry,first episode ARF cases,334,clinical records,,,,,,,,,,27,29,49,Ethnicity,"incidence all ARF episodes (first + recurrent) in pacific islander children 5-14 years, 1993-1999 Auckland",-9,-9,25914,-9,"per 100,000",84.9,-9,-9,84.9,TRUE,0,0,,0,,5
30,30,Post GAS infection reactions,APSGN,no,,"Haematuria and or heavy proteinuria† associated with recent evidence of streptococcal infection‡ in absence of clinical or histological evidence of previous renal disease in the presence of transient C3
hypocomplementaemia (normalising within 8 weeks). Oe",poisson,incidence rate,,30,Padraig,13-May-15,Prospective population-based study on the burden of disease from post-streptococcal glomerulonephritis of hospitalised children in New Zealand,"Wong W, Lennon DR, Crone S, Neutze JM, Reed PW",2013,"Wong et al., 2013",retrospective cohort,New Zealand,National,hospital,1/09/2007,31/08/2009,2 years,passive case finding,cases notification,176,clinical records,1.4-14.7 years,,,No,Yes,Yes,Yes,Yes,"Good. High ascertainment of cases through 93-95% response rate. high risk of hospitalisation and acute, hospital based study likely to capture most cases but no ascertainment Ethnicity self-defined but no other plausible method.",30,30,50,Total,"incidence New Zealand children 0-14 years, 2007-2009",176,-9,906000,176,per 100000 children per year,9.7,8.3,11.3,11.3,TRUE,0,0,,0,,5
30,30,Post GAS infection reactions,APSGN,no,,"Haematuria and or heavy proteinuria† associated with recent evidence of streptococcal infection‡ in absence of clinical or histological evidence of previous renal disease in the presence of transient C3
hypocomplementaemia (normalising within 8 weeks). Oe",poisson,incidence rate,,30,Padraig,13-May-15,Prospective population-based study on the burden of disease from post-streptococcal glomerulonephritis of hospitalised children in New Zealand,"Wong W, Lennon DR, Crone S, Neutze JM, Reed PW",2013,"Wong et al., 2013",retrospective cohort,New Zealand,National,hospital,1/09/2007,31/08/2009,2 years,passive case finding,cases notification,176,clinical records,1.4-14.7 years,,,No,Yes,Yes,Yes,Yes,"Good. High ascertainment of cases through 93-95% response rate. high risk of hospitalisation and acute, hospital based study likely to capture most cases but no ascertainment Ethnicity self-defined but no other plausible method.",30,30,51,Sex,"Male incidence ASPGN NZ children 0-14 years, 2007-2009",114,-9,464000,114,per 100000 children per year,12.3,10.1,14.8,14.8,TRUE,0,0,,0,,5
30,30,Post GAS infection reactions,APSGN,no,,"Haematuria and or heavy proteinuria† associated with recent evidence of streptococcal infection‡ in absence of clinical or histological evidence of previous renal disease in the presence of transient C3
hypocomplementaemia (normalising within 8 weeks). Oe",poisson,incidence rate,,30,Padraig,13-May-15,Prospective population-based study on the burden of disease from post-streptococcal glomerulonephritis of hospitalised children in New Zealand,"Wong W, Lennon DR, Crone S, Neutze JM, Reed PW",2013,"Wong et al., 2013",retrospective cohort,New Zealand,National,hospital,1/09/2007,31/08/2009,2 years,passive case finding,cases notification,176,clinical records,1.4-14.7 years,,,No,Yes,Yes,Yes,Yes,"Good. High ascertainment of cases through 93-95% response rate. high risk of hospitalisation and acute, hospital based study likely to capture most cases but no ascertainment Ethnicity self-defined but no other plausible method.",30,30,52,Sex,"Female incidence ASPGN NZ children 0-14 years, 2007-2009",62,-9,442000,62,per 100000 children per year,7,5.4,9,9,TRUE,0,0,,0,,5
